ID,Title,Category,Muscle_Group,Muscles,Equipment,Difficulty,GIF_URL,use_time,Description
31,Wheel Rollout Waist Fix,Strength,Core,"Abs, Lower Back, Obliques",Other,2/3,https://fitcron.com/wp-content/uploads/2024/05/08571301-Wheel-Rollout_Waist-FIX_720.gif,False,Kneel with a wheel in front of you. Roll the wheel forward
32,Standing Wheel Rollout,Strength,Core,"Abs, Chest, Deltoids, Lower Back, Obliques",Other,3/3,https://fitcron.com/wp-content/uploads/2024/05/07961301-Standing-Wheel-Rollout_Waist_720.gif,False,Stand holding a wheel at your waist. Bend forward
33,Side Bridge Ii,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/07051301-Side-Bridge-II_waist_720.gif,True,Lie on your side
34,Seated Leg Raise,Strength,Core,"Abs, Lower Back, Obliques",Flat Bench,2/3,https://fitcron.com/wp-content/uploads/2024/05/06891301-Seated-Leg-Raise_waist_720.gif,False,Sit on the edge of a bench with hands gripping the sides. Extend legs out
35,Russian Twist Waist Fix,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/06871301-Russian-Twist_Waist-FIX_720.gif,False,Sit with knees bent and feet off the ground. Hold a weight and twist torso side to side
36,Oblique Crunches Floor,Strength,Core,"Abs, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2024/05/06351301-Oblique-Crunches-Floor_waist_720.gif,False,Lie on your back with knees bent and feet flat. Crunch to one side
37,Leg Pull In Flat Bench,Strength,Core,"Abs, Lower Back, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2024/05/05701301-Leg-Pull-In-Flat-Bench_waist_720.gif,False,Sit on a bench with hands gripping the edges. Lean back slightly
38,Janda Sit Up,Strength,Core,"Abs, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2024/05/05081301-Janda-Sit-up_Waist_720.gif,False,Lie on your back with knees bent and feet flat
39,Jackknife Sit Up,Strength,Core,"Abs, Lower Back, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/05071301-Jackknife-Sit-Up_waist_720.gif,False,Lie on your back with arms and legs extended. Simultaneously lift arms and legs
40,Incline Leg Hip Raise Leg Straight,Strength,Core,"Abs, Lower Back, Obliques",Incline Bench,3/3,https://fitcron.com/wp-content/uploads/2024/05/04911301-Incline-Leg-Hip-Raise-leg-straight_waist_720.gif,False,Lie on an incline bench with feet secured. Lift straight legs toward the ceiling
41,Hip Raise Bent Knee,Strength,Core,"Abs, Lower Back, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2024/05/04841301-Hip-Raise-bent-knee_waist_720.gif,False,Lie on your back with knees bent and feet flat. Lift hips toward the ceiling
42,Elbow To Knee,Strength,Core,"Abs, Obliques","None, Flat Bench",3/3,https://fitcron.com/wp-content/uploads/2024/05/04431301-Elbow-to-Knee_waist_720.gif,False,Lie on your back with hands behind head. Bring one elbow toward the opposite knee while extending the other leg. Alternate sides in a controlled motion.
43,Cross Body Crunch,Strength,Core,"Abs, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2024/05/02621301-Cross-Body-Crunch_waist_720.gif,False,Lie on your back with hands behind head. Crunch to bring one elbow toward the opposite knee
44,Cocoons,Strength,Core,"Abs, Lower Back, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/02601301-Cocoons_waist_720.gif,False,Lie on your back with arms and legs extended. Pull knees and arms toward your chest
45,Bottoms Up M,Strength,Core,"Abs, Lower Back, Obliques",,1/3,https://fitcron.com/wp-content/uploads/2024/05/01381301-Bottoms-Up-m_waist_720.gif,False,Lie on your back with legs extended toward the ceiling. Lift hips off the ground
46,Alternate Heel Touchers Waist Fix,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/00061301-Alternate-Heel-Touchers_waist-FIX_720.gif,False,Lie on your back with knees bent and feet flat. Crunch side to side
47,Air Bike M Waist,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/00031301-air-bike-m_waist_FIX_720.gif,False,Lie on your back with hands behind head. Pedal legs in a bicycle motion while bringing opposite elbows to knees
48,45° Side Bend,Strength,Core,"Abs, Obliques",Other,2/3,https://fitcron.com/wp-content/uploads/2024/05/00021301-45°-Side-Bend_Waist_720.gif,False,Stand with feet shoulder-width apart
49,Stretching,Stretching,All,,,1/3,https://fitcron.com/wp-content/uploads/2024/02/estiramiento.jpg,True,Perform a series of dynamic or static stretches
50,Warm-up,Stretching,All,,,1/3,https://fitcron.com/wp-content/uploads/2024/02/calentamiento.jpg,True,Engage in light cardio or dynamic movements (e.g.
51,Band Side Bend Male,Strength,Core,"Abs, Obliques",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/38411301-Band-side-bend-male_Waist_720.gif,False,Stand with feet shoulder-width apart
52,Smith Hip Raise,Strength,Core,"Abs, Lower Back, Obliques",Machine,3/3,https://fitcron.com/wp-content/uploads/2021/04/07561301-Smith-Hip-Raise_waist_720.gif,False,Lie under a Smith machine bar set low. Place feet under the bar and lift hips toward the ceiling
53,Lever Total Abdominal Crunch,Strength,Core,"Abs, Obliques",Machine,3/3,https://fitcron.com/wp-content/uploads/2021/04/18571301-Lever-Total-Abdominal-Crunch_Waist_720.gif,False,Sit in a lever crunch machine. Engage abs to pull the chest pad toward your knees
54,Lever Decline Sit Up,Strength,Core,"Abs, Obliques",Machine,3/3,https://fitcron.com/wp-content/uploads/2021/04/18581301-Lever-Decline-Sit-up_Waist_720.gif,False,Sit on a decline lever bench with feet secured. Perform a sit-up
55,Lever Lying Leg Raise Bent Knee,Strength,Core,"Abs, Lower Back, Obliques",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/18561301-Lever-Lying-Leg-Raise-Bent-Knee_Hips_720.gif,False,Lie on a lever bench with knees bent. Lift knees toward chest using the lever
56,Lever Lying Crunch,Strength,Core,"Abs, Obliques",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/22761301-Lever-Lying-Crunch_Waist_720.gif,False,Lie on a lever bench with hands gripping the handles. Crunch upward
57,Lever Seated Twist,Strength,Core,"Abs, Obliques",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/14531103-Lever-Seated-Twist_Waist_720.gif,False,Sit on a lever twist machine with feet secured. Twist torso side to side
58,Lever Seated Crunch,Strength,Core,"Abs, Obliques",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/14521301-Lever-Seated-Crunch_Waist_720.gif,False,Sit on a lever crunch machine. Engage abs to pull the chest pad toward your knees
59,Lever Seated Crunch Chest Pad,Strength,Core,"Abs, Obliques",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/05951301-Lever-Seated-Crunch-chest-pad_Waist_720.gif,False,Sit on a lever crunch machine with a chest pad. Crunch forward
60,Lever Twist,Strength,Core,"Abs, Obliques",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/06081301-Lever-Twist_Waist_720.gif,False,Sit on a lever twist machine. Twist torso side to side
61,Side Plank Hip Adduction,Strength,Core,"Abs, Adductor, Obliques",Flat Bench,3/3,https://fitcron.com/wp-content/uploads/2021/04/17751301-Side-Plank-Hip-Adduction_Hips_720.gif,True,Lie on your side in a side plank
62,Side Plank Oblique Crunch,Strength,Core,"Abs, Obliques",Flat Bench,3/3,https://fitcron.com/wp-content/uploads/2021/04/43341301-Side-Plank-Oblique-Crunch_Waist_720.gif,True,In a side plank
63,Bodyweight Incline Side Plank,Strength,Core,"Abs, Obliques",Flat Bench,3/3,https://fitcron.com/wp-content/uploads/2021/04/35441301-Bodyweight-Incline-Side-Plank_Waist_720.gif,True,Prop yourself on one elbow on an incline surface in a side plank. Hold the position
64,Elbow To Knee Side Plank Crunch Male,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2021/04/35031301-Elbow-to-Knee-Side-Plank-Crunch-male_Wiast_720.gif,True,In a side plank
65,Side Plank M,Strength,Core,"Abs, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2021/04/07151301-Side-Plank-m_Waist_720.gif,True,Lie on your side
66,Kneeling Plank Male,Strength,Core,"Abs, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2021/04/32381301-Kneeling-plank-male_Waist_720.gif,True,Kneel with forearms on the ground
67,Front Plank Waist Fix,Strength,Core,"Abs, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2021/04/04631301-Front-Plank_waist-FIX_720.gif,True,Rest on forearms and toes
68,Side Hip On Parallel Bars,Strength,Core,"Abs, Obliques",Other,2/3,https://fitcron.com/wp-content/uploads/2021/04/07091301-Side-Hip-on-parallel-bars_Waist_720.gif,False,Support yourself on parallel bars in a side position. Lift hips upward
69,Vertical Leg Raise On Parallel Bars,Strength,Core,"Abs, Lower Back, Obliques",Other,2/3,https://fitcron.com/wp-content/uploads/2021/04/08261301-Vertical-Leg-Raise-on-parallel-bars_Hips_720.gif,False,Support yourself on parallel bars with legs extended. Lift legs to a 90-degree angle
70,Captains Chair Straight Leg Raise,Strength,Core,"Abs, Lower Back, Obliques",Other,2/3,https://fitcron.com/wp-content/uploads/2021/04/29631301-Captains-Chair-Straight-Leg-Raise_Waist_720.gif,False,Sit in a captain’s chair with legs extended. Lift legs to a 90-degree angle
71,Wind Sprints,Strength,Core,"Abs, Obliques",Other,2/3,https://fitcron.com/wp-content/uploads/2021/04/08581301-Wind-Sprints_waist_720.gif,True,Lie on your back with legs extended. Rapidly twist hips side to side
72,Hanging Oblique Knee Raise,Strength,Core,"Abs, Obliques",Other,3/3,https://fitcron.com/wp-content/uploads/2021/04/17611301-Hanging-Oblique-Knee-Raise_Waist_720.gif,False,Hang from a pull-up bar. Raise knees toward one side
73,Hanging Leg Hip Raise,Strength,Core,"Abs, Lower Back, Obliques",Other,2/3,https://fitcron.com/wp-content/uploads/2021/04/17641301-Hanging-Leg-Hip-Raise_Waist_720.gif,False,Hang from a pull-up bar. Lift legs and hips toward the ceiling
74,Hanging Straight Leg Raise,Strength,Core,"Abs, Lower Back, Obliques",Other,3/3,https://fitcron.com/wp-content/uploads/2021/04/04751301-Hanging-Straight-Leg-Raise_Hips_720.gif,False,Hang from a pull-up bar. Lift straight legs to a 90-degree angle
75,Hanging Pike,Strength,Core,"Abs, Lower Back, Obliques",Other,3/3,https://fitcron.com/wp-content/uploads/2021/04/04731301-Hanging-Pike_waist_720.gif,False,"Hang from a pull-up bar. Lift legs and hips to form a ""V"" shape with your body"
76,Band Twist Male,Strength,Core,"Abs, Obliques",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/35911301-Band-twist-male_Waist_720.gif,False,Stand with a resistance band anchored at your side. Twist torso to pull the band
77,Band Lying Straight Leg Raise,Strength,Core,"Abs, Lower Back, Obliques",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/10021301-Band-Lying-Straight-Leg-Raise_Hips_720.gif,False,Lie on your back with a resistance band around your feet. Lift legs to a 90-degree angle against band resistance
78,Band Push Sit Up,Strength,Core,"Abs, Obliques",Resistance Bands,3/3,https://fitcron.com/wp-content/uploads/2021/04/09921301-Band-push-sit-up_Waist_720.gif,False,Lie on your back with a resistance band anchored behind you. Perform a sit-up while pushing against the band
79,Band Jack Knife Sit Up,Strength,Core,"Abs, Lower Back, Obliques",Resistance Bands,3/3,https://fitcron.com/wp-content/uploads/2021/04/09811301-Band-jack-knife-sit-up_Waist_720.gif,False,Lie on your back with a resistance band around your feet. Lift arms and legs simultaneously toward each other against band resistance
80,Band Bicycle Crunch,Strength,Core,"Abs, Obliques",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/09721301-Band-bicycle-crunch_Waist_720.gif,False,Lie on your back with a resistance band around your feet. Perform a bicycle crunch
81,Band Standing Crunch,Strength,Core,"Abs, Obliques",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/10051301-Band-standing-crunch_Waist_720.gif,False,Stand with a resistance band anchored above you. Pull the band downward while crunching forward
82,Band Standing Twisting Crunch,Strength,Core,"Abs, Obliques",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/10071301-Band-standing-twisting-crunch_Waist_720.gif,False,Stand with a resistance band anchored at your side. Pull the band while twisting torso to engage obliques and abs
83,Band Kneeling Twisting Crunch,Strength,Core,"Abs, Obliques",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/09851301-Band-Kneeling-Twisting-Crunch_Waist_720.gif,False,Kneel with a resistance band anchored at your side. Pull the band while twisting torso to engage obliques and abs
84,Cable Judo Flip,Strength,Core,"Abs, Obliques",Cable,3/3,https://fitcron.com/wp-content/uploads/2021/04/01741301-Cable-Judo-Flip_waist_720.gif,False,Stand sideways to a cable machine set at chest height. Pull the cable across your body in a flipping motion
85,Cable Seated Cross Arm Twist,Strength,Core,"Abs, Obliques","Flat Bench, Cable",2/3,https://fitcron.com/wp-content/uploads/2021/04/40421301-Cable-Seated-Cross-Arm-Twist_Waist_720.gif,False,Sit with a cable machine set at chest height. Pull the cable across your body with both arms
86,Cable Side Bend Waist Fix,Strength,Core,"Abs, Obliques",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/02221301-Cable-Side-Bend_Waist-FIX_720.gif,False,Stand sideways to a cable machine set at waist height. Pull the cable to bend sideways
87,Cable Hanging Leg Raise,Strength,Core,"Abs, Lower Back, Obliques",Cable,3/3,https://fitcron.com/wp-content/uploads/2021/04/28871301-Cable-Hanging-Leg-Raise_Waist_720.gif,False,Hang from a pull-up bar with a cable attached to your feet. Lift legs to a 90-degree angle against cable resistance
88,Cable Kneeling Crunch Waist Fix,Strength,Core,"Abs, Obliques",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/01751301-Cable-Kneeling-Crunch_Waist-FIX_720.gif,False,Kneel facing a cable machine set high. Pull the cable down while crunching forward
89,Cable Reverse Crunch,Strength,Core,"Abs, Lower Back, Obliques",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/08731301-Cable-Reverse-Crunch_waist_720.gif,False,Lie on your back with a cable attached to your feet. Pull knees toward chest against cable resistance
90,Cable Tuck Reverse Crunch,Strength,Core,"Abs, Lower Back, Obliques",Cable,3/3,https://fitcron.com/wp-content/uploads/2021/04/02421301-Cable-Tuck-Reverse-Crunch_waist_720.gif,False,Lie on your back with a cable attached to your feet. Tuck knees toward chest
91,Cable Twist Up Down,Strength,Core,"Abs, Obliques",Cable,3/3,https://fitcron.com/wp-content/uploads/2021/04/08621301-Cable-twist-up-down_Waist_720.gif,False,Stand with a cable machine set at chest height. Pull the cable up and down while twisting torso
92,Cable Standing Crunch,Strength,Core,"Abs, Obliques",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/02261301-Cable-Standing-Crunch_Waist_720.gif,False,Stand facing a cable machine set high. Pull the cable down while crunching forward
93,Cable Side Crunch,Strength,Core,"Abs, Obliques",Cable,1/3,https://fitcron.com/wp-content/uploads/2021/04/02231301-Cable-Side-Crunch_Waist_720.gif,False,Stand sideways to a cable machine set at chest height. Pull the cable down to crunch sideways
94,Cable Seated Crunch,Strength,Core,"Abs, Obliques",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/02121301-Cable-Seated-Crunch_Waist_720.gif,False,Sit facing a cable machine set high. Pull the cable down while crunching forward
95,Cable Russian Twists On Stability Ball,Strength,Core,"Abs, Obliques","Stability Ball, Cable",3/3,https://fitcron.com/wp-content/uploads/2021/04/02111301-Cable-Russian-Twists-on-stability-ball_waist_720.gif,False,Sit on a stability ball with a cable machine set at chest height. Pull the cable while twisting side to side
96,Barbell Side Bent Ii,Strength,Core,"Abs, Obliques",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/00961301-Barbell-Side-Bent-II_waist_720.gif,False,Stand with a barbell resting on your shoulders. Bend sideways at the waist
97,Bent Over Twist,Strength,Core,"Abs, Obliques",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/33911301-Bent-Over-Twist_Waist_720.gif,False,Bend forward holding a barbell or weight. Twist torso side to side
98,Barbell Seated Twist,Strength,Core,"Abs, Obliques","Flat Bench, Barbell",2/3,https://fitcron.com/wp-content/uploads/2021/04/00941301-Barbell-Seated-Twist_waist_720.gif,False,Sit with a barbell resting on your shoulders. Twist torso side to side
99,Dumbbell Side Bend,Strength,Core,"Abs, Obliques",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/04071301-Dumbbell-Side-Bend_Waist_720.gif,False,Stand with a dumbbell in one hand. Bend sideways at the waist
100,Dumbbell Russian Twist,Strength,Core,"Abs, Obliques",Dumbbells,3/3,https://fitcron.com/wp-content/uploads/2021/04/34491301-Dumbbell-Russian-Twist_Waist_720.gif,False,Sit with knees bent and feet off the ground
101,Dumbbell V Up,Strength,Core,"Abs, Lower Back, Obliques",Dumbbells,3/3,https://fitcron.com/wp-content/uploads/2021/04/33361301-Dumbbell-V-up_Waist_720.gif,False,"Lie on your back holding a dumbbell overhead. Lift arms and legs simultaneously to form a ""V"
102,Dumbbell Side Bridge,Strength,Core,"Abs, Obliques",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/33371301-Dumbbell-Side-Bridge_Hips_720.gif,False,Lie on your side
103,Weighted Seated Twist On Stability Ball,Strength,Core,"Abs, Obliques","Stability Ball, Other",2/3,https://fitcron.com/wp-content/uploads/2021/04/08491301-Weighted-Seated-Twist-on-stability-ball_waist_720.gif,False,Sit on a stability ball with knees bent
104,Stability Ball Crunch Full Range Hands Behind Head,Strength,Core,"Abs, Obliques",Stability Ball,3/3,https://fitcron.com/wp-content/uploads/2021/04/22971301-Stability-Ball-Crunch-Full-range-hands-behind-head_Waist_720.gif,False,Lie on a stability ball with lower back supported
105,Pull In On Stability Ball,Strength,Core,"Abs, Lower Back, Obliques",Stability Ball,3/3,https://fitcron.com/wp-content/uploads/2021/04/06501301-Pull-In-on-stability-ball_waist_720.gif,False,Place shins on a stability ball
106,Crunch On Stability Ball,Strength,Core,"Abs, Obliques",Stability Ball,2/3,https://fitcron.com/wp-content/uploads/2021/04/02711301-Crunch-on-stability-ball_waist_720.gif,False,Lie on a stability ball with lower back supported
107,Dumbbell Step Up,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Dumbbells, Other",2/3,https://fitcron.com/wp-content/uploads/2021/04/04311301-Dumbbell-Step-up_Hips_720.gif,False,Hold a dumbbell in each hand
108,Dumbbell Seated One Leg Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Dumbbells, Other",2/3,https://fitcron.com/wp-content/uploads/2021/04/04001301-Dumbbell-Seated-One-Leg-Calf-Raise_calves_720.gif,False,Sit on a bench holding a dumbbell on one knee
109,Dumbbell Stiff Leg Deadlift,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Lower Back, Quadriceps",Dumbbells,3/3,https://fitcron.com/wp-content/uploads/2021/04/04321301-Dumbbell-Stiff-Leg-Deadlift_Waist_720.gif,False,Hold dumbbells in front of thighs
110,Dumbbell Standing Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Dumbbells, Other",2/3,https://fitcron.com/wp-content/uploads/2021/04/04171301-Dumbbell-Standing-Calf-Raise_Calf_720.gif,False,Hold a dumbbell in each hand
111,Dumbbell Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,1/3,https://fitcron.com/wp-content/uploads/2021/04/04131301-Dumbbell-Squat_Hips_720.gif,False,Hold a dumbbell in each hand at your sides
112,Dumbbell Single Leg Split Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,3/3,https://fitcron.com/wp-content/uploads/2021/04/04101301-Dumbbell-Single-Leg-Split-Squat_Thighs_720.gif,False,Hold dumbbells at your sides
